st,statefip,year,adopt_year,unins
MD,24,2018,2014,0.088401894
MD,24,2019,2014,0.089487657
MD,24,2020,2014,0.08527249
MD,24,2021,2014,0.086604201
MA,25,2008,2014,0.059904273
MA,25,2009,2014,0.063220534
MA,25,2010,2014,0.067322365
MA,25,2011,2014,0.062278846
MA,25,2012,2014,0.059749773
MA,25,2013,2014,0.057860265
MA,25,2014,2014,0.049167279
MA,25,2015,2014,0.042759323
MA,25,2016,2014,0.037867017
MA,25,2017,2014,0.041297872
MA,25,2018,2014,0.041136852
MA,25,2019,2014,0.04569152
MA,25,2020,2014,0.038530797
MA,25,2021,2014,0.037207766
MI,26,2008,2014,0.165698679
MI,26,2009,2014,0.189163832
MI,26,2010,2014,0.196207208
MI,26,2011,2014,0.188433105
MI,26,2012,2014,0.183556609
MI,26,2013,2014,0.173016813
MI,26,2014,2014,0.133156019
MI,26,2015,2014,0.09429081
MI,26,2016,2014,0.083109637
MI,26,2017,2014,0.079682442
MI,26,2018,2014,0.08492259
MI,26,2019,2014,0.089929751
MI,26,2020,2014,0.08532275
MI,26,2021,2014,0.079283981
MN,27,2008,2014,0.115241482
MN,27,2009,2014,0.11964551
MN,27,2010,2014,0.124358288
MN,27,2011,2014,0.120669229
MN,27,2012,2014,0.116326407
MN,27,2013,2014,0.113678257
MN,27,2014,2014,0.087435216
MN,27,2015,2014,0.064403695
MN,27,2016,2014,0.060974951
MN,27,2017,2014,0.065277477
MN,27,2018,2014,0.061372218
MN,27,2019,2014,0.071472713
MN,27,2020,2014,0.073268883
MN,27,2021,2014,0.063090383
MS,28,2008,,0.242028971
MS,28,2009,,0.260899188
MS,28,2010,,0.279748774
MS,28,2011,,0.273893597
MS,28,2012,,0.271164399
MS,28,2013,,0.267895787
MS,28,2014,,0.239813664
MS,28,2015,,0.212406521
MS,28,2016,,0.197943152
MS,28,2017,,0.203295909
MS,28,2018,,0.206783652
MS,28,2019,,0.215410211
MS,28,2020,,0.194543725
MS,28,2021,,0.19753449
MO,29,2008,2021,0.182914023
MO,29,2009,2021,0.196822548
MO,29,2010,2021,0.200978976
MO,29,2011,2021,0.204345248
MO,29,2012,2021,0.208696962
MO,29,2013,2021,0.195031363
MO,29,2014,2021,0.174030229
MO,29,2015,2021,0.144602409
MO,29,2016,2021,0.140195433
MO,29,2017,2021,0.142840034
MO,29,2018,2021,0.146847337
MO,29,2019,2021,0.154349151
MO,29,2020,2021,0.149521784
MO,29,2021,2021,0.140609837
MT,30,2008,2016,0.239796477
MT,30,2009,2016,0.261211627
MT,30,2010,2016,0.236144487
MT,30,2011,2016,0.265174524
MT,30,2012,2016,0.265430865
MT,30,2013,2016,0.243429036
MT,30,2014,2016,0.202196197
MT,30,2015,2016,0.171966992
MT,30,2016,2016,0.128589829
MT,30,2017,2016,0.129699403
MT,30,2018,2016,0.123113634
MT,30,2019,2016,0.120202027
MT,30,2020,2016,0.122199688
MT,30,2021,2016,0.110899825
NE,31,2008,2020,0.145514201
NE,31,2009,2020,0.164951015
NE,31,2010,2020,0.176239746
NE,31,2011,2020,0.171628148
NE,31,2012,2020,0.16508263
NE,31,2013,2020,0.158455565
NE,31,2014,2020,0.138445991
NE,31,2015,2020,0.115854964
NE,31,2016,2020,0.12914525
NE,31,2017,2020,0.123629598
NE,31,2018,2020,0.121623332
NE,31,2019,2020,0.118781624
NE,31,2020,2020,0.121382552
NE,31,2021,2020,0.103914074
NV,32,2008,2014,0.260839953
NV,32,2009,2014,0.281365823
NV,32,2010,2014,0.29760809
NV,32,2011,2014,0.29655103
NV,32,2012,2014,0.293995462
NV,32,2013,2014,0.281184256
NV,32,2014,2014,0.217223824
NV,32,2015,2014,0.175397384
NV,32,2016,2014,0.162513815
NV,32,2017,2014,0.15976528
NV,32,2018,2014,0.161650323
NV,32,2019,2014,0.167132309
NV,32,2020,2014,0.169507309
NV,32,2021,2014,0.160375427
NH,33,2008,2014,0.154277999
NH,33,2009,2014,0.149940162
NH,33,2010,2014,0.161930626
NH,33,2011,2014,0.147272284
NH,33,2012,2014,0.162046601
NH,33,2013,2014,0.165555544
NH,33,2014,2014,0.137107543
NH,33,2015,2014,0.10169901
NH,33,2016,2014,0.096617033
NH,33,2017,2014,0.085268543
NH,33,2018,2014,0.083251722
NH,33,2019,2014,0.095566058
NH,33,2020,2014,0.093420471
NH,33,2021,2014,0.071478855
NJ,34,2008,2014,0.171201313
NJ,34,2009,2014,0.181387692
NJ,34,2010,2014,0.193785042
NJ,34,2011,2014,0.194247565
NJ,34,2012,2014,0.191053103
NJ,34,2013,2014,0.198752945
NJ,34,2014,2014,0.165658013
NJ,34,2015,2014,0.131950083
NJ,34,2016,2014,0.117099537
NJ,34,2017,2014,0.114942697
NJ,34,2018,2014,0.111650172
NJ,34,2019,2014,0.1190912
NJ,34,2020,2014,0.111081593
NJ,34,2021,2014,0.108886028
NM,35,2008,2014,0.293876254
NM,35,2009,2014,0.288974229
NM,35,2010,2014,0.297967097
NM,35,2011,2014,0.305071589
NM,35,2012,2014,0.290713058
NM,35,2013,2014,0.294657439
